,Year,Distance,Gender,Rank,DistancesCategory,Result,Stroke_Backstroke,Stroke_Breaststroke,Stroke_Butterfly,Stroke_Freestyle,Stroke_Individual medley
0,2020,100,1,1,0,51,1,0,0,0,0
1,2020,100,1,2,0,52,1,0,0,0,0
2,2020,100,1,3,0,52,1,0,0,0,0
3,2020,100,1,4,0,52,1,0,0,0,0
4,2020,100,1,4,0,52,1,0,0,0,0
5,2020,100,1,4,0,52,1,0,0,0,0
6,2020,100,1,4,0,52,1,0,0,0,0
7,2020,100,1,4,0,52,1,0,0,0,0
8,2020,100,1,1,0,57,0,1,0,0,0
9,2020,100,1,2,0,58,0,1,0,0,0
10,2020,100,1,3,0,58,0,1,0,0,0
11,2020,100,1,4,0,58,0,1,0,0,0
12,2020,100,1,4,0,58,0,1,0,0,0
13,2020,100,1,4,0,58,0,1,0,0,0
14,2020,100,1,4,0,58,0,1,0,0,0
15,2020,100,1,4,0,59,0,1,0,0,0
16,2020,100,1,1,0,49,0,0,1,0,0
17,2020,100,1,2,0,49,0,0,1,0,0
18,2020,100,1,3,0,50,0,0,1,0,0
19,2020,100,1,4,0,50,0,0,1,0,0
20,2020,100,1,4,0,50,0,0,1,0,0
21,2020,100,1,4,0,50,0,0,1,0,0
22,2020,100,1,4,0,51,0,0,1,0,0
23,2020,100,1,4,0,51,0,0,1,0,0
24,2020,100,1,1,0,47,0,0,0,1,0
25,2020,100,1,2,0,47,0,0,0,1,0
26,2020,100,1,3,0,47,0,0,0,1,0
27,2020,100,1,4,0,47,0,0,0,1,0
28,2020,100,1,4,0,47,0,0,0,1,0
29,2020,100,1,4,0,47,0,0,0,1,0
30,2020,100,1,4,0,48,0,0,0,1,0
31,2020,100,1,4,0,48,0,0,0,1,0
32,2020,1500,1,1,3,879,0,0,0,1,0
33,2020,1500,1,2,3,880,0,0,0,1,0
34,2020,1500,1,3,3,880,0,0,0,1,0
35,2020,1500,1,4,3,885,0,0,0,1,0
36,2020,1500,1,4,3,895,0,0,0,1,0
37,2020,1500,1,4,3,895,0,0,0,1,0
38,2020,1500,1,4,3,903,0,0,0,1,0
39,2020,1500,1,4,3,904,0,0,0,1,0
40,2020,200,1,1,0,113,1,0,0,0,0
41,2020,200,1,2,0,114,1,0,0,0,0
42,2020,200,1,3,0,114,1,0,0,0,0
43,2020,200,1,4,0,115,1,0,0,0,0
44,2020,200,1,4,0,116,1,0,0,0,0
45,2020,200,1,4,0,116,1,0,0,0,0
46,2020,200,1,4,0,117,1,0,0,0,0
47,2020,200,1,4,0,119,1,0,0,0,0
48,2020,200,1,1,0,126,0,1,0,0,0
49,2020,200,1,2,0,127,0,1,0,0,0
50,2020,200,1,3,0,127,0,1,0,0,0
51,2020,200,1,4,0,127,0,1,0,0,0
52,2020,200,1,4,0,127,0,1,0,0,0
53,2020,200,1,4,0,128,0,1,0,0,0
54,2020,200,1,4,0,128,0,1,0,0,0
55,2020,200,1,4,0,128,0,1,0,0,0
56,2020,200,1,1,0,111,0,0,1,0,0
57,2020,200,1,2,0,113,0,0,1,0,0
58,2020,200,1,3,0,114,0,0,1,0,0
59,2020,200,1,4,0,114,0,0,1,0,0
60,2020,200,1,4,0,114,0,0,1,0,0
61,2020,200,1,4,0,115,0,0,1,0,0
62,2020,200,1,4,0,115,0,0,1,0,0
63,2020,200,1,4,0,115,0,0,1,0,0
64,2020,200,1,1,0,104,0,0,0,1,0
65,2020,200,1,2,0,104,0,0,0,1,0
66,2020,200,1,3,0,104,0,0,0,1,0
67,2020,200,1,4,0,104,0,0,0,1,0
68,2020,200,1,4,0,105,0,0,0,1,0
69,2020,200,1,4,0,105,0,0,0,1,0
70,2020,200,1,4,0,105,0,0,0,1,0
71,2020,200,1,4,0,105,0,0,0,1,0
72,2020,200,1,1,0,115,0,0,0,0,1
73,2020,200,1,2,0,115,0,0,0,0,1
74,2020,200,1,3,0,116,0,0,0,0,1
75,2020,200,1,4,0,116,0,0,0,0,1
76,2020,200,1,4,0,117,0,0,0,0,1
77,2020,200,1,4,0,117,0,0,0,0,1
78,2020,200,1,4,0,117,0,0,0,0,1
79,2020,200,1,4,0,117,0,0,0,0,1
80,2020,400,1,1,0,223,0,0,0,1,0
81,2020,400,1,2,0,223,0,0,0,1,0
